id,name,rating,review_count,address,latitude,longitude,price,categories,is_closed
iWOT1Q-bT-QYIaiQj02R0A,DASH Japanese Tapas & Sushi,4.2,525,"204A 2nd Ave, San Mateo, CA 94401",37.5657718,-122.3236825,$$$,"Japanese, Sushi Bars, Tapas Bars",False
mAc9cc7rcNg9X3FkiRLF4Q,New Thai Elephant,4.2,816,"200 S B St, San Mateo, CA 94401",37.56598,-122.32334,$$,Thai,False
KCvg--UhaPEwCCOjoPpocg,Mykonos Meze,4.6,769,"226 Lorton Ave, Burlingame, CA 94010",37.57863,-122.34508,$$,"Bars, Greek, Tapas/Small Plates",False
83jL4XuU0obCbZxtIyC1hg,Pacific Catch,3.8,1039,"243 S B St, San Mateo, CA 94401",37.5658261,-122.3227351,$$,"Seafood, Sushi Bars, Tacos",False
Ldr19PlJ8Vt8e39c-BcpJA,Jack's Restaurant & Bar,4.0,986,"1750 S El Camino Real, San Mateo, CA 94402",37.55108,-122.31348,$$,"Breakfast & Brunch, American, Wine Bars",False
noYk4IB8WYdl2fOACvYHGg,Porterhouse,3.8,720,"164 S B St, San Mateo, CA 94401",37.56640700654721,-122.32364071533996,$$$$,"Steakhouses, Seafood, Lounges",False
Ncv_ugVX6O3-I3EewBL3Ig,Foreigner,4.1,900,"60E 3rd Ave, Ste 108, San Mateo, CA 94401",37.56375826570716,-122.32472350344328,$$,"Breakfast & Brunch, Cafes, New American",False
uKlzDG1-3pbUFVe_v30jmw,Flights Restaurant And Bar,4.0,1239,"1100 Burlingame Ave, Burlingame, CA 94010",37.57974,-122.34571,$$,"New American, Cocktail Bars, Breakfast & Brunch",False
RKU7InzDu9MYMbkJOEMbaA,La Ronda Restaurant,4.4,114,"224 East Hillsdale Blvd, San Mateo, CA 94403",37.541032,-122.291054,N/A,"Peruvian, Seafood",False
Hb096qfw5JOX4In2FRrFAg,Cuban Kitchen,4.4,953,"3799 S El Camino Real, San Mateo, CA 94403",37.5338027,-122.2935263,$$,"Cuban, Sandwiches, Caribbean",False
RlRmJLE0mmNOkrI64KQGZA,Noodle Shop,4.0,516,"164 W 25th Ave, San Mateo, CA 94403",37.5436175,-122.3083104,$$,"Chinese, Noodles",False
UK8xCAjs9MKR7jNpRz2KyA,Zen Noodle Bar,3.9,572,"668 E 3rd Ave, San Mateo, CA 94401",37.5672708,-122.319365,$$,"Shanghainese, Noodles",False
UWoKPmlZ3vrtM0s5LbLe8w,Pho Element,4.0,1032,"2216 S El Camino Real, San Mateo, CA 94403",37.54596,-122.30779,$$,Vietnamese,False
bTkqsphmEuYd8Ck7vovRkQ,Bangkok Patio,4.0,1061,"615 E 3rd Ave, Ste D, San Mateo, CA 94401",37.567652,-122.319674,$$,Thai,False
JdvQpQ-6XpVn3zTpM7ZCsQ,Backhaus,4.4,764,"32 E 3rd Ave, San Mateo, CA 94401",37.5633452,-122.3251067,$,"Bakeries, Coffee & Tea, Cafes",False
uR26_dmLGtwH21AwaOrbcA,Central Park Bistro,3.9,571,"181 E 4th Ave, San Mateo, CA 94401",37.56413,-122.322752,$$,"New American, Seafood, Pizza",False
2SFfNR0XjUd6BVYry8IuaA,Gyu-Kaku Japanese BBQ,3.7,1167,"329 S Ellsworth Ave, San Mateo, CA 94401",37.5645034956175,-122.322586617241,$$$,"Japanese, Barbeque, Asian Fusion",False
McqNkwpeLNu191f-oWXEtg,Limon,4.0,2113,"1101 Burlingame Ave, Burlingame, CA 94010",37.579516,-122.345367,$$$,"Tapas/Small Plates, Peruvian",False
UdMCqro5KyzsxrActTRxcw,El Sinaloense,4.0,761,"1622 Palm Ave, San Mateo, CA 94402",37.5537981,-122.313331,$$,"Seafood, Mexican",False
UD-whqoT6YiNree5O_J-GA,Cobani Gyro & Kebab,4.2,861,"8 W 25th Ave, San Mateo, CA 94403",37.5443238,-122.3059478,$$,"Halal, Mediterranean, Salad",False
WNENCN_O5kQuoTDZvOmh3w,Charm Thai Eatery,4.1,692,"1428 S El Camino Real, San Mateo, CA 94402",37.5538205601561,-122.316233887225,$$,Thai,False
